"variable","year","mean_value","sd_value"
"bio_1","Current",19.8586933877733,1.32186708934502
"bio_1","2050",21.5635803717154,1.31987320180831
"bio_1","2070",22.0493827395969,1.32395646514571
"bio_1","2100",22.3561728442157,1.32748445402975
"bio_10","Current",23.2697179229171,1.00947645531887
"bio_10","2050",24.9290125811542,1.01545813775257
"bio_10","2070",25.4456790994715,1.01847317442796
"bio_10","2100",25.7290125599614,1.01898224546743
"bio_13","Current",178.462962962963,51.1692393455888
"bio_13","2050",205.506172321461,56.4565745211799
"bio_13","2070",219.481481057626,67.6011747674447
"bio_13","2100",216.407407548693,58.9060888214506
