gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4893179295	eeaf050f-23d0-4557-9084-ec545cd3d9a7	c9e1bd76-f57a-4d40-90b8-c8b23e0680a8	Animalia	Arthropoda	Insecta	Hemiptera	Eriococcidae	Eriococcus	Acanthococcus ironsidei		SPECIES	Acanthococcus ironsidei Miller & Gimpel, 1996	Acanthococcus ironsidei	(Williams, 1973)	AU	Murwillimbah	New South Wales	PRESENT		325c883e-46a7-4be3-9d77-7dde654fd1d3	-28.33333	153.4							1961-07-24	24	7	1961	5160476	5160475	PRESERVED_SPECIMEN	DPI	ASCU	ASCT00001596		B, A R		CC_BY_4_0		Braithwaite, Bruce M			2026-02-05T23:27:37.929Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;TAXON_CONCEPT_ID_NOT_FOUND
4893135599	eeaf050f-23d0-4557-9084-ec545cd3d9a7	c1e54d4a-f74f-4ad9-aaa4-efc9c2f151ec	Animalia	Arthropoda	Insecta	Hemiptera	Eriococcidae	Eriococcus	Acanthococcus ironsidei		SPECIES	Acanthococcus ironsidei Miller & Gimpel, 1996	Acanthococcus ironsidei	(Williams, 1973)	AU	Murwillimbah	New South Wales	PRESENT		325c883e-46a7-4be3-9d77-7dde654fd1d3	-28.33333	153.4							1964-02-24	24	2	1964	5160476	5160475	PRESERVED_SPECIMEN	DPI	ASCU	ASCT00001607		Hely, Dr Prosper Carl		CC_BY_4_0		Braithwaite, Bruce M			2026-02-05T23:27:28.472Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;TAXON_CONCEPT_ID_NOT_FOUND
4893128548	eeaf050f-23d0-4557-9084-ec545cd3d9a7	b544434e-cca4-4ca7-94b0-8853b00ae3d0	Animalia	Arthropoda	Insecta	Hemiptera	Eriococcidae	Eriococcus	Acanthococcus ironsidei		SPECIES	Acanthococcus ironsidei Miller & Gimpel, 1996	Acanthococcus ironsidei	(Williams, 1973)	AU	Alstonville	New South Wales	PRESENT		325c883e-46a7-4be3-9d77-7dde654fd1d3	-28.83167	153.4344							1970-09-14	14	9	1970	5160476	5160475	PRESERVED_SPECIMEN	DPI	ASCU	ASCT00179833		Gillespie, Mr Peter Scott, Schicha, Dr Eberhard	2017-05-11T00:00:00	CC_BY_4_0		Wright, W E			2026-02-05T23:27:35.875Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;TAXON_CONCEPT_ID_NOT_FOUND
4893114343	eeaf050f-23d0-4557-9084-ec545cd3d9a7	49d1111e-cca2-4290-8694-5b027e245d0b	Animalia	Arthropoda	Insecta	Hemiptera	Eriococcidae	Eriococcus	Acanthococcus ironsidei		SPECIES	Acanthococcus ironsidei Miller & Gimpel, 1996	Acanthococcus ironsidei	(Williams, 1973)	AU	Carmel	Western Australia	PRESENT		325c883e-46a7-4be3-9d77-7dde654fd1d3	-32.01667	116.1167							2014-10		10	2014	5160476	5160475	PRESERVED_SPECIMEN	DPI	ASCU	ASCT00180633		Gillespie, Mr Peter Scott	2014-11-20T00:00:00	CC_BY_4_0		Carruthers, E			2026-02-05T23:27:35.022Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;TAXON_CONCEPT_ID_NOT_FOUND
4893106741	eeaf050f-23d0-4557-9084-ec545cd3d9a7	e634a7a8-cf00-4309-a5c9-c61564e5a5d8	Animalia	Arthropoda	Insecta	Hemiptera	Eriococcidae	Eriococcus	Acanthococcus ironsidei		SPECIES	Acanthococcus ironsidei Miller & Gimpel, 1996	Acanthococcus ironsidei	(Williams, 1973)	AU	Carmel	Western Australia	PRESENT		325c883e-46a7-4be3-9d77-7dde654fd1d3	-32.01667	116.1167							2014-10		10	2014	5160476	5160475	PRESERVED_SPECIMEN	DPI	ASCU	ASCT00180638		Gillespie, Mr Peter Scott	2014-11-20T00:00:00	CC_BY_4_0		Carruthers, E			2026-02-05T23:27:33.854Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;TAXON_CONCEPT_ID_NOT_FOUND
4893105623	eeaf050f-23d0-4557-9084-ec545cd3d9a7	7d48af98-a3b6-4e90-86bb-6137da6de63f	Animalia	Arthropoda	Insecta	Hemiptera	Eriococcidae	Eriococcus	Acanthococcus ironsidei		SPECIES	Acanthococcus ironsidei Miller & Gimpel, 1996	Acanthococcus ironsidei	(Williams, 1973)	AU	Carmel	Western Australia	PRESENT		325c883e-46a7-4be3-9d77-7dde654fd1d3	-32.01667	116.1167							2014-10		10	2014	5160476	5160475	PRESERVED_SPECIMEN	DPI	ASCU	ASCT00180634		Gillespie, Mr Peter Scott	2014-11-20T00:00:00	CC_BY_4_0		Carruthers, E			2026-02-05T23:27:37.706Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;TAXON_CONCEPT_ID_NOT_FOUND
4893077567	eeaf050f-23d0-4557-9084-ec545cd3d9a7	d89e3d44-73c0-4a45-9f05-26ec1221a4fb	Animalia	Arthropoda	Insecta	Hemiptera	Eriococcidae	Eriococcus	Acanthococcus ironsidei		SPECIES	Acanthococcus ironsidei Miller & Gimpel, 1996	Acanthococcus ironsidei	(Williams, 1973)	AU	Alstonville	New South Wales	PRESENT		325c883e-46a7-4be3-9d77-7dde654fd1d3	-28.83167	153.4344							1970-09-14	14	9	1970	5160476	5160475	PRESERVED_SPECIMEN	DPI	ASCU	ASCT00179828		Gillespie, Mr Peter Scott, Schicha, Dr Eberhard	2017-05-11T00:00:00	CC_BY_4_0		Wright, W E			2026-02-05T23:27:33.804Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;TAXON_CONCEPT_ID_NOT_FOUND
4893069966	eeaf050f-23d0-4557-9084-ec545cd3d9a7	d6c42bd6-67fb-44f3-8a74-cd785fe7e153	Animalia	Arthropoda	Insecta	Hemiptera	Eriococcidae	Eriococcus	Acanthococcus ironsidei		SPECIES	Acanthococcus ironsidei Miller & Gimpel, 1996	Acanthococcus ironsidei	(Williams, 1973)	AU	Lindendale, Alphadale Road	New South Wales	PRESENT		325c883e-46a7-4be3-9d77-7dde654fd1d3	-28.830035	153.364063							2017-05		5	2017	5160476	5160475	PRESERVED_SPECIMEN	DPI	ASCU	ASCT00181581		Gillespie, Mr Peter Scott		CC_BY_4_0		Maddox, Craig			2026-02-05T23:27:38.360Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;TAXON_CONCEPT_ID_NOT_FOUND
4893048993	eeaf050f-23d0-4557-9084-ec545cd3d9a7	67be3d33-a1b9-44c8-a1b3-78b741af1791	Animalia	Arthropoda	Insecta	Hemiptera	Eriococcidae	Eriococcus	Acanthococcus ironsidei		SPECIES	Acanthococcus ironsidei Miller & Gimpel, 1996	Acanthococcus ironsidei	(Williams, 1973)	AU	Carmel	Western Australia	PRESENT		325c883e-46a7-4be3-9d77-7dde654fd1d3	-32.01667	116.1167							2014-10		10	2014	5160476	5160475	PRESERVED_SPECIMEN	DPI	ASCU	ASCT00188474		Gillespie, Mr Peter Scott	2014-10-17T00:00:00	CC_BY_4_0		Carruthers, E			2026-02-05T23:27:39.845Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;TAXON_CONCEPT_ID_NOT_FOUND
4893009788	eeaf050f-23d0-4557-9084-ec545cd3d9a7	20e66d44-3180-4460-9567-d1a22749f773	Animalia	Arthropoda	Insecta	Hemiptera	Eriococcidae	Eriococcus	Acanthococcus ironsidei		SPECIES	Acanthococcus ironsidei Miller & Gimpel, 1996	Acanthococcus ironsidei	(Williams, 1973)	AU	Carmel	Western Australia	PRESENT		325c883e-46a7-4be3-9d77-7dde654fd1d3	-32.01667	116.1167							2014-10		10	2014	5160476	5160475	PRESERVED_SPECIMEN	DPI	ASCU	ASCT00180637		Gillespie, Mr Peter Scott	2014-11-20T00:00:00	CC_BY_4_0		Carruthers, E			2026-02-05T23:27:29.556Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE;TAXON_CONCEPT_ID_NOT_FOUND
