V1 V2
fc H H
rm 4 5
tune.args fc.H_rm.4 fc.H_rm.5
auc.train 0.9594508 0.9543423
cbi.train 0.990 0.897
auc.diff.avg 0.02011520 0.02480452
auc.diff.sd 0.01908857 0.01955573
auc.val.avg 0.9390699 0.9282703
auc.val.sd 0.02687947 0.03174646
cbi.val.avg 0.4455 0.4245
cbi.val.sd 0.5909171 0.5938044
or.10p.avg 0.09203297 0.09203297
or.10p.sd 0.07141096 0.07141096
or.mtp.avg 0.01785714 0.01785714
or.mtp.sd 0.03571429 0.03571429
AICc 1587.863 1617.506
delta.AICc  94.26343 123.90603
w.AIC 3.172106e-21 1.160218e-27
ncoef 10  9
