"fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"L",1,"fc.L_rm.1",0.907909140667761,0.432,0.0620032879231786,0.0626090997846522,0.875196232339089,0.0716974298816827,0.36775,0.421522933342106,0.451923076923077,0.394340037951434,0.0178571428571429,0.0357142857142857,1823.14041431691,329.540697989278,2.57951751810844e-72,3
"Q",1,"fc.Q_rm.1",0.911193212917351,0.547,0.0448858617652923,0.0591059760223589,0.889866291344124,0.0612626366929226,0.368,0.45494688334647,0.395604395604396,0.42044038380079,0.0178571428571429,0.0357142857142857,2172.49546573441,678.895749406778,3.54856654484483e-148,2
"H",1,"fc.H_rm.1",0.966018974639664,0.835,0.0189463024810105,0.0199162634241725,0.958182211876793,0.0192029095090168,0.70575,0.140272057089072,0.111263736263736,0.0431181588534562,0.0178571428571429,0.0357142857142857,1498.90282061978,5.30310429214705,0.0658927094532138,13
"LQH",1,"fc.LQH_rm.1",0.968846925743477,0.84,0.0245864597375471,0.0189216510276392,0.953289936664321,0.0195859259659599,0.70025,0.222788950952839,0.149725274725275,0.0652243549564977,0.0178571428571429,0.0357142857142857,1493.59971632763,0,0.934096685941629,11
"L",2,"fc.L_rm.2",0.90754424375114,0.463,0.051207010429196,0.0356620548123873,0.884415768960104,0.0516796705223156,0.35975,0.512750995448408,0.471153846153846,0.386764664580704,0.0178571428571429,0.0357142857142857,1822.01170034055,328.411984012913,4.53560898969034e-72,3
"Q",2,"fc.Q_rm.2",0.910098522167488,0.674,0.0383975525255713,0.0400600134043248,0.89476871650517,0.0470010244690517,0.429,0.394065138439489,0.376373626373626,0.38373787914685,0.0178571428571429,0.0357142857142857,2173.40794406483,679.808227737196,2.24859272852261e-148,3
"H",2,"fc.H_rm.2",0.963464696223317,0.811,0.0214692702467544,0.0172499704076632,0.954518080441726,0.0200682129276123,0.44475,0.584928129488287,0.168956043956044,0.147390387260816,0.0178571428571429,0.0357142857142857,1530.94005666059,37.340340332956,7.27846757780259e-09,13
"LQH",2,"fc.LQH_rm.2",0.967569786535304,0.894,0.0221357257724853,0.0182375007915351,0.952850105559465,0.0167729079984447,0.5375,0.321982918801604,0.207417582417582,0.173309338688907,0.0178571428571429,0.0357142857142857,1516.37318326703,22.7734669393926,1.05973265844712e-05,9
"L",3,"fc.L_rm.3",0.906632001459588,0.54,0.0443747499646815,0.0154852896452535,0.889534726357387,0.040218460791344,0.465,0.246237013193928,0.413461538461538,0.285551341250777,0.0178571428571429,0.0357142857142857,1821.05199372872,327.452277401086,7.32880641517429e-72,3
"Q",3,"fc.Q_rm.3",0.908365261813538,0.653,0.0321635448835677,0.0226140952400425,0.899424159584258,0.0359111521672109,0.48875,0.314958595162391,0.320054945054945,0.312185114873462,0.0178571428571429,0.0357142857142857,2172.07382580371,678.474109476075,4.38137979780539e-148,3
"H",3,"fc.H_rm.3",0.962005108556833,0.909,0.0207281424570863,0.0173130655432924,0.946195122611379,0.0257070681315577,0.45525,0.437749071957897,0.111263736263736,0.0431181588534562,0.0178571428571429,0.0357142857142857,1553.22269130354,59.6229749759093,1.05542485602482e-13,10
"LQH",3,"fc.LQH_rm.3",0.963373471994162,0.926,0.0207731735703922,0.018023043875051,0.946469171222866,0.0166068305229604,0.55875,0.357313471151966,0.149725274725275,0.0652243549564977,0.0178571428571429,0.0357142857142857,1570.42426900469,76.8245526770606,1.94156609795249e-17,12
"L",4,"fc.L_rm.4",0.905993431855501,0.484,0.0430437781310364,0.00823041659826542,0.888830996589617,0.0396330302163631,0.47675,0.293561322384268,0.394230769230769,0.254507922261887,0.0178571428571429,0.0357142857142857,1820.23021472582,326.630498398187,1.10530031410057e-71,3
"Q",4,"fc.Q_rm.4",0.907635467980296,0.578,0.0327956391199813,0.0154597289570164,0.89623707573215,0.0346629955730746,0.47075,0.347014288850858,0.300824175824176,0.275507129198762,0.0178571428571429,0.0357142857142857,2170.75144846455,677.151732136915,8.48714246144631e-148,3
"H",4,"fc.H_rm.4",0.959450830140485,0.99,0.0201152010911113,0.0190885681083834,0.939069858712716,0.0268794722976469,0.4455,0.590917083862025,0.092032967032967,0.0714109586625711,0.0178571428571429,0.0357142857142857,1587.86314801169,94.2634316840581,3.17210619748659e-21,10
"LQH",4,"fc.LQH_rm.4",0.959815727057106,0.975,0.0197118107772319,0.0165841448162104,0.944689546906296,0.0159564403798425,0.54,0.295558228893507,0.148351648351648,0.0586652651210512,0.0178571428571429,0.0357142857142857,1613.25297884339,119.653262515754,9.72783073200117e-27,8
"L",5,"fc.L_rm.5",0.90581098339719,0.46,0.0441432981292407,0.00755475790335194,0.882632761327343,0.0435296579347122,0.4995,0.323869829818504,0.376373626373626,0.253800163919829,0.0178571428571429,0.0357142857142857,1819.5323250746,325.932608746968,1.56684164345191e-71,3
"Q",5,"fc.Q_rm.5",0.90736179529283,0.473,0.0295573681694972,0.0164431884497127,0.883911654847615,0.0423169182968389,0.49175,0.303090058123544,0.320054945054945,0.264284191202879,0.0178571428571429,0.0357142857142857,2169.32449938013,675.724783052495,1.73228581356467e-147,3
"H",5,"fc.H_rm.5",0.954342273307791,0.897,0.0248045185920652,0.0195557336339097,0.928270313430412,0.0317464630888504,0.4245,0.593804401016586,0.092032967032967,0.0714109586625711,0.0178571428571429,0.0357142857142857,1617.50574532193,123.906028994295,1.16021772992863e-27,9
"LQH",5,"fc.LQH_rm.5",0.957808794015691,0.984,0.0188035141597559,0.018995648962517,0.943539219401288,0.0193258179840797,0.5525,0.282764330612379,0.129120879120879,0.0681111867464727,0.0178571428571429,0.0357142857142857,1625.58437976173,131.9846634341,2.04308445113203e-29,4
